Month,Tweet
Apr,RT @LittleDebbie: Imagine the wind in your hair on board a Princess Cruise. Now enter for a chance to win one! #Giveaway…
Apr,RT https://t.co/gmXmbulPtl This Week in #Travel News: The end of Overbooking? Plus Princess #Cruise News & Hilton… https://t.co/6OMOAWbWVL
Apr,Win a $2 000 Princess #Cruise Lines Gift Card –open to the US and Canada! #contest #sweepstakes #giveaway https://t.co/cpEnGrrirZ
Apr,@CruiseHabit @paulhewittcom Princess cruise line
Apr,It's all about Education ~ Ship Tour of the Ruby Princess Cruise Ship. Stay tune for photos and videos... https://t.co/AcMba3iN5I
Apr,#Win a $2000 Princess Cruise Gift Card + a $500 Jack Rogers Gift Card https://t.co/SqFzTDUgQ5 Ends 5/7
Apr,Princess cruise ships fined $32 million for illegally dumping oil waste in oceans since 2005. #dropprincesscruises https://t.co/edFmlynyRY
Apr,@VarneyCo Princess Cruise Line Ordered to Pay $40 Million for Illegal Dumping of Oil Contaminated Waste https://t.co/p9dmPxdYDB
Apr,@CarnivalCruise since Carnival owns Princess Cruise line and we are Platinum with them do we get priority boarding with Carnival?
Apr,Enter to win a $2000 Princess Cruise! #sweepstakes #giveaway https://t.co/MlJ6iFPGe2
Apr,Enter to win a $2000 Princess Cruise! #sweepstakes #giveaway https://t.co/eR0ug2AHvh
Apr,Enter to win a $2000 Princess Cruise! #sweepstakes #giveaway https://t.co/cnQpUHryaV
Apr,Princess Cruise #Giveaway https://t.co/N0CNQJ63wY
Apr,Enter to win a Princess Cruise getaway for 2 -------> https://t.co/rn5lmYFQ9l
Apr,RT @JeffreyANewman1: Courageous young engineer whistleblower awarded $1 million for reporting Princess Cruise illegal discharge into sea.https://t.co/MAomkVjF3d
Apr,Enter To Win a Princess Cruise From Jack Rogers https://t.co/rrko8hyfxi
Apr,Enter To Win a Princess Cruise From Jack Rogers https://t.co/IBrJ5w9Xny
Apr,An engineer has been awarded $1m after he revealed Princess Cruise Lines was illegally dumping waste. https://t.co/H2SoL26uzy
Apr,$2000 Princess Cruise #Giveaway https://t.co/N0CNQJ63wY
Apr,RT @AllisonLegal: Princess Cruise Lines Settles Whistleblower Suit for Illegal Dumping https://t.co/WFNxndwmtG #whistleblower #falseclaimsact #nofraud #quitam
Apr,Enter here to win a Princess Cruise gift certificate: https://t.co/gAnPCS5Kv1
